season,Team,age,pw,pl,sos,srs,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,opp_drb_percent,opp_ft_fga,attend,attend_g,W,L,W/L%,MOV/A,ORtg/A,DRtg/A,NRtg/A,Rk,playoffs
2022,Atlanta Hawks,26.1,45.0,37.0,-0.01,1.55,97.7,0.253,0.39,0.581,0.543,10.8,23.0,0.205,0.543,11.5,76.9,0.177,672742.0,16408.0,43,39,0.524,1.55,117.42,115.84,1.58,14,0
2021,Atlanta Hawks,25.4,41.0,31.0,-0.18,2.14,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,59288.0,1647.0,41,31,0.569,2.14,116.33,114.14,2.19,11,0
2020,Atlanta Hawks,24.1,18.0,49.0,0.27,-7.71,103.0,0.258,0.398,0.554,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233,545453.0,16043.0,20,47,0.299,-7.71,108.18,115.56,-7.37,28,0
2019,Atlanta Hawks,25.1,27.0,55.0,-0.04,-6.06,103.9,0.255,0.403,0.555,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,628440.0,15328.0,29,53,0.354,-6.06,108.83,114.59,-5.76,26,0
2018,Atlanta Hawks,25.4,27.0,55.0,0.15,-5.3,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,590769.0,14409.0,24,58,0.293,-5.3,105.81,111.12,-5.31,26,0
2017,Atlanta Hawks,27.9,39.0,43.0,-0.38,-1.23,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,654306.0,15959.0,43,39,0.524,-1.23,105.32,106.69,-1.37,20,1
2016,Atlanta Hawks,28.2,51.0,31.0,-0.12,3.49,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,690150.0,16833.0,48,34,0.585,3.49,105.74,102.12,3.62,7,1
2015,Atlanta Hawks,27.8,56.0,26.0,-0.68,4.75,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,713909.0,17412.0,60,22,0.732,4.75,109.85,104.56,5.29,4,1
2014,Atlanta Hawks,27.5,40.0,42.0,-0.4,-0.88,94.6,0.266,0.316,0.554,0.515,14.3,21.0,0.208,0.51,14.0,74.4,0.196,587927.0,14231.0,38,44,0.463,-0.88,106.74,107.71,-0.97,16,1
2013,Atlanta Hawks,27.1,42.0,40.0,-0.48,-0.08,92.6,0.244,0.286,0.546,0.517,14.2,22.2,0.174,0.496,14.2,73.6,0.181,620146.0,15126.0,44,38,0.537,-0.07,105.39,105.54,-0.15,16,1
2012,Atlanta Hawks,27.9,41.0,25.0,-0.77,2.67,90.2,0.259,0.249,0.535,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,501593.0,15200.0,40,26,0.606,2.67,105.57,102.72,2.85,9,1
2011,Atlanta Hawks,27.4,39.0,43.0,-0.28,-1.1,89.3,0.269,0.222,0.542,0.501,13.5,23.4,0.209,0.495,12.3,74.6,0.211,641596.0,15649.0,44,38,0.537,-1.1,107.03,108.29,-1.26,18,1
2022,Boston Celtics,26.1,59.0,23.0,-0.26,7.02,96.6,0.239,0.425,0.578,0.542,12.4,24.0,0.195,0.502,12.5,77.3,0.183,727928.0,17754.0,51,31,0.622,7.02,115.05,107.65,7.39,1,0
2021,Boston Celtics,25.1,39.0,33.0,-0.14,1.32,98.3,0.234,0.409,0.574,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,30067.0,835.0,36,36,0.5,1.32,114.69,113.47,1.22,13,0
2020,Boston Celtics,25.3,50.0,22.0,-0.47,5.83,99.5,0.259,0.386,0.57,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,610864.0,19090.0,48,24,0.667,5.83,114.01,108.15,5.86,5,1
2019,Boston Celtics,25.7,52.0,30.0,-0.54,3.9,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,0.514,13.4,77.0,0.198,763584.0,18624.0,49,33,0.598,3.9,112.57,108.69,3.88,8,1
2018,Boston Celtics,24.7,51.0,31.0,-0.35,3.23,96.0,0.243,0.357,0.552,0.518,13.0,21.5,0.188,0.495,13.0,78.4,0.191,763584.0,18624.0,55,27,0.671,3.24,108.14,104.75,3.39,7,1
2017,Boston Celtics,25.9,48.0,34.0,-0.39,2.25,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,760690.0,18553.0,53,29,0.646,2.25,111.81,109.49,2.33,8,1
2016,Boston Celtics,25.2,50.0,32.0,-0.37,2.84,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,749076.0,18270.0,48,34,0.585,2.84,107.24,104.43,2.81,8,1
2015,Boston Celtics,25.0,41.0,41.0,-0.56,-0.4,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75.0,0.208,721350.0,17594.0,40,42,0.488,-0.4,105.14,105.58,-0.44,19,1
2014,Boston Celtics,25.4,28.0,54.0,-0.51,-4.97,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,742400.0,18107.0,25,57,0.305,-4.98,103.69,109.03,-5.34,26,0
2013,Boston Celtics,29.1,40.0,41.0,-0.4,-0.62,91.7,0.263,0.215,0.542,0.503,14.1,20.1,0.204,0.482,14.2,73.3,0.216,744960.0,18624.0,41,40,0.506,-0.62,103.77,104.51,-0.75,17,1
2012,Boston Celtics,29.3,39.0,27.0,-0.26,2.26,90.4,0.257,0.194,0.535,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216,614592.0,18624.0,39,27,0.591,2.26,102.19,99.69,2.5,12,1
2011,Boston Celtics,29.5,57.0,25.0,-0.54,4.83,90.4,0.305,0.18,0.561,0.519,14.5,21.1,0.235,0.469,14.8,74.7,0.235,763584.0,18624.0,56,26,0.683,4.83,107.03,101.73,5.3,6,1
2022,Brooklyn Nets,29.1,43.0,39.0,0.04,0.82,99.0,0.246,0.359,0.576,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,711539.0,17355.0,44,38,0.537,0.82,114.84,114.03,0.81,15,0
2021,Brooklyn Nets,28.2,46.0,26.0,-0.27,4.24,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,30491.0,847.0,48,24,0.667,4.24,119.0,114.76,4.24,7,0
2020,Brooklyn Nets,26.3,35.0,37.0,-0.44,-1.01,101.4,0.267,0.423,0.554,0.52,13.1,23.2,0.199,0.511,11.0,77.8,0.187,524907.0,16403.0,35,37,0.486,-1.01,109.63,110.64,-1.01,19,1
2019,Brooklyn Nets,25.4,41.0,41.0,-0.33,-0.4,100.8,0.284,0.403,0.556,0.52,13.0,23.8,0.211,0.512,11.6,76.4,0.19,612597.0,14941.0,42,40,0.512,-0.4,110.15,110.56,-0.41,16,1
2018,Brooklyn Nets,25.1,31.0,51.0,0.07,-3.67,98.9,0.26,0.411,0.551,0.514,13.6,21.0,0.201,0.517,11.0,77.0,0.201,640010.0,15376.0,28,54,0.341,-3.67,107.83,111.55,-3.72,24,0
2017,Brooklyn Nets,26.0,24.0,58.0,-0.01,-6.74,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212,632608.0,15429.0,20,62,0.244,-6.74,104.63,111.37,-6.74,29,0
2016,Brooklyn Nets,26.9,22.0,60.0,0.24,-7.12,95.2,0.246,0.218,0.527,0.492,13.6,24.1,0.186,0.534,13.1,75.7,0.176,620142.0,15125.0,21,61,0.256,-7.11,104.06,111.66,-7.61,28,0
2015,Brooklyn Nets,28.6,33.0,49.0,-0.25,-3.13,92.7,0.267,0.24,0.529,0.491,13.0,23.9,0.2,0.506,12.9,73.7,0.185,698529.0,17037.0,38,44,0.463,-3.13,105.17,108.48,-3.31,23,1
2014,Brooklyn Nets,30.0,38.0,44.0,-0.58,-1.58,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,707331.0,17252.0,44,38,0.537,-1.58,107.36,109.16,-1.8,20,1
2013,Brooklyn Nets,28.6,46.0,36.0,-0.53,1.25,88.8,0.299,0.269,0.536,0.498,14.0,30.9,0.219,0.503,13.1,73.7,0.174,704702.0,17188.0,49,33,0.598,1.25,109.1,107.71,1.39,12,1
2022,Chicago Bulls,26.3,40.0,42.0,0.02,-0.38,98.3,0.248,0.332,0.579,0.541,11.8,20.4,0.201,0.541,11.9,78.3,0.199,856148.0,20882.0,46,36,0.561,-0.37,114.13,114.58,-0.45,20,0
2021,Chicago Bulls,25.6,34.0,38.0,-0.05,-0.94,99.0,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,13655.0,379.0,31,41,0.431,-0.94,111.9,112.87,-0.97,20,0
2020,Chicago Bulls,24.4,26.0,39.0,-0.93,-4.0,99.7,0.231,0.396,0.547,0.515,13.7,22.8,0.175,0.546,16.3,75.6,0.239,639352.0,18804.0,22,43,0.338,-4.0,107.22,111.29,-4.07,23,0
2019,Chicago Bulls,24.0,21.0,61.0,0.1,-8.32,99.0,0.235,0.295,0.541,0.505,12.7,19.4,0.184,0.541,11.9,77.3,0.188,823475.0,20085.0,22,60,0.268,-8.32,105.49,113.9,-8.41,27,0
2018,Chicago Bulls,24.4,23.0,59.0,0.2,-6.84,98.3,0.216,0.35,0.529,0.497,12.6,20.6,0.164,0.542,12.4,80.6,0.184,851824.0,20776.0,27,55,0.329,-6.84,104.46,111.47,-7.01,28,0
2017,Chicago Bulls,26.9,42.0,40.0,-0.39,0.03,95.3,0.259,0.256,0.53,0.487,12.3,27.0,0.206,0.507,12.4,76.8,0.169,888882.0,21680.0,41,41,0.5,0.03,107.91,107.98,-0.08,15,1
2016,Chicago Bulls,27.6,37.0,45.0,0.01,-1.46,95.7,0.24,0.244,0.526,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182,894659.0,21821.0,42,40,0.512,-1.46,106.02,107.44,-1.42,18,0
2015,Chicago Bulls,28.8,50.0,32.0,-0.46,2.54,92.8,0.304,0.269,0.536,0.489,12.9,27.0,0.238,0.473,11.3,74.4,0.182,886612.0,21625.0,50,32,0.61,2.54,108.42,105.53,2.88,10,1
2014,Chicago Bulls,28.6,47.0,35.0,-0.66,1.2,90.2,0.29,0.222,0.518,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,890370.0,21716.0,48,34,0.585,1.19,103.12,101.72,1.4,14,1
2013,Chicago Bulls,28.0,42.0,40.0,-0.33,-0.02,89.3,0.259,0.189,0.512,0.47,13.6,29.4,0.201,0.477,13.2,73.6,0.206,896944.0,21877.0,45,37,0.549,-0.01,104.09,104.1,0.0,14,1
2012,Chicago Bulls,27.1,51.0,15.0,-0.76,7.43,89.1,0.255,0.205,0.523,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175,731326.0,22161.0,50,16,0.758,7.43,108.21,99.72,8.49,1,1
2011,Chicago Bulls,26.4,61.0,21.0,-0.79,6.53,90.4,0.305,0.215,0.541,0.501,13.5,29.4,0.227,0.463,13.6,76.2,0.222,893462.0,21792.0,62,20,0.756,6.53,109.02,101.65,7.37,2,1
2022,Charlotte Hornets,25.5,42.0,40.0,0.09,0.53,100.0,0.234,0.418,0.572,0.544,11.6,23.3,0.173,0.544,13.1,74.8,0.187,700755.0,17092.0,43,39,0.524,0.53,115.02,114.42,0.6,16,0
2021,Charlotte Hornets,24.6,32.0,40.0,-0.01,-1.94,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,68255.0,1896.0,33,39,0.458,-1.94,111.66,113.75,-2.08,23,0
2020,Charlotte Hornets,24.3,19.0,46.0,-0.28,-7.03,95.8,0.252,0.399,0.539,0.504,13.3,23.9,0.188,0.546,13.1,74.4,0.159,478591.0,15428.0,23,42,0.354,-7.04,107.38,114.56,-7.18,27,0
2019,Charlotte Hornets,26.6,38.0,44.0,-0.22,-1.32,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.205,0.538,12.1,77.1,0.179,676570.0,16502.0,39,43,0.476,-1.31,112.11,113.41,-1.3,23,0
2018,Charlotte Hornets,26.6,42.0,40.0,-0.19,0.07,98.4,0.312,0.314,0.549,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,671404.0,16376.0,36,46,0.439,0.07,109.93,109.89,0.04,18,0
2017,Charlotte Hornets,26.5,42.0,40.0,-0.26,-0.07,95.7,0.279,0.335,0.547,0.501,10.7,19.9,0.227,0.523,12.1,79.6,0.164,710643.0,17333.0,36,46,0.439,-0.06,109.53,109.55,-0.02,14,0
2016,Charlotte Hornets,26.0,49.0,33.0,-0.36,2.36,95.7,0.28,0.348,0.545,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191,716894.0,17485.0,48,34,0.585,2.36,107.67,105.33,2.34,9,1
2015,Charlotte Hornets,26.0,32.0,50.0,-0.27,-3.44,93.0,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12.0,79.3,0.188,704886.0,17192.0,33,49,0.402,-3.44,100.75,104.55,-3.79,25,0
2022,Cleveland Cavaliers,24.7,47.0,35.0,-0.08,2.04,96.1,0.261,0.387,0.571,0.538,13.2,24.0,0.198,0.52,12.3,76.5,0.172,758228.0,18493.0,44,38,0.537,2.04,112.66,110.62,2.05,13,0
2021,Cleveland Cavaliers,24.0,18.0,54.0,0.25,-8.19,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13.0,76.6,0.183,91476.0,2541.0,22,50,0.306,-8.19,106.96,115.51,-8.55,28,0
2020,Cleveland Cavaliers,25.0,18.0,47.0,0.12,-7.77,98.7,0.227,0.362,0.553,0.522,14.6,24.6,0.172,0.56,11.7,77.4,0.164,643008.0,17861.0,19,46,0.292,-7.77,108.46,116.41,-7.94,29,0
2019,Cleveland Cavaliers,25.2,19.0,63.0,0.22,-9.39,96.6,0.236,0.332,0.54,0.503,12.2,23.7,0.187,0.564,11.5,77.0,0.181,793337.0,19350.0,19,63,0.232,-9.39,108.83,118.64,-9.82,30,0
2018,Cleveland Cavaliers,30.6,43.0,39.0,-0.35,0.59,98.0,0.275,0.379,0.584,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,843042.0,20562.0,50,32,0.61,0.59,113.61,112.94,0.67,14,1
2017,Cleveland Cavaliers,29.2,49.0,33.0,-0.31,2.87,96.2,0.275,0.399,0.58,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.174,843042.0,20562.0,51,31,0.622,2.88,114.33,111.38,2.95,7,1
2016,Cleveland Cavaliers,28.1,57.0,25.0,-0.55,5.45,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,843042.0,20562.0,57,25,0.695,5.44,111.75,105.85,5.9,4,1
2015,Cleveland Cavaliers,26.9,53.0,29.0,-0.4,4.08,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177,843042.0,20562.0,53,29,0.646,4.08,111.97,107.58,4.39,6,1
2014,Cleveland Cavaliers,24.9,32.0,50.0,-0.57,-3.86,93.1,0.268,0.236,0.518,0.479,13.0,27.2,0.201,0.508,13.0,75.8,0.199,710522.0,17330.0,33,49,0.402,-3.86,104.92,109.07,-4.16,23,0
2013,Cleveland Cavaliers,24.1,28.0,54.0,-0.19,-4.87,92.3,0.265,0.229,0.514,0.473,13.0,28.1,0.2,0.523,14.4,72.6,0.225,663882.0,16192.0,24,58,0.293,-4.87,105.24,110.52,-5.28,27,0
2012,Cleveland Cavaliers,26.0,17.0,49.0,-0.14,-7.34,91.3,0.307,0.238,0.505,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,525577.0,15927.0,21,45,0.318,-7.34,102.06,110.14,-8.08,29,0
2011,Cleveland Cavaliers,26.6,18.0,64.0,0.14,-8.88,93.0,0.312,0.224,0.518,0.472,13.4,24.2,0.233,0.524,12.7,73.3,0.211,824595.0,20112.0,19,63,0.232,-8.88,103.02,112.69,-9.67,30,0
2022,Dallas Mavericks,26.7,50.0,32.0,-0.18,3.12,95.4,0.249,0.439,0.572,0.538,11.7,21.3,0.192,0.521,12.2,78.0,0.185,808037.0,19708.0,52,30,0.634,3.12,113.76,110.41,3.35,7,0
2021,Dallas Mavericks,26.3,41.0,31.0,-0.01,2.26,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,94849.0,2635.0,42,30,0.583,2.26,116.18,113.8,2.38,9,0
2020,Dallas Mavericks,26.1,49.0,26.0,-0.07,4.87,99.3,0.264,0.457,0.581,0.545,11.2,23.2,0.206,0.525,10.6,77.7,0.175,682096.0,20062.0,43,32,0.573,4.87,117.41,112.52,4.9,6,1
2019,Dallas Mavericks,26.9,38.0,44.0,0.42,-0.87,99.0,0.291,0.422,0.555,0.519,12.7,22.7,0.216,0.522,11.6,77.5,0.191,820569.0,20014.0,33,49,0.402,-0.86,110.29,111.08,-0.79,19,0
2018,Dallas Mavericks,27.7,33.0,49.0,0.34,-2.7,95.6,0.217,0.382,0.544,0.513,11.6,18.0,0.166,0.532,12.9,78.9,0.193,811453.0,19792.0,24,58,0.293,-2.7,106.96,109.7,-2.74,22,0
2017,Dallas Mavericks,27.6,33.0,49.0,0.4,-2.53,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,811366.0,19789.0,33,49,0.402,-2.52,106.31,108.96,-2.65,23,0
2016,Dallas Mavericks,30.3,40.0,42.0,0.29,-0.02,94.3,0.265,0.339,0.544,0.502,12.0,20.6,0.211,0.504,12.8,76.2,0.198,825901.0,20144.0,42,40,0.512,-0.02,107.24,107.13,0.11,16,1
2015,Dallas Mavericks,29.9,49.0,33.0,0.46,3.36,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204,827702.0,20188.0,50,32,0.61,3.36,110.51,106.87,3.64,9,1
2014,Dallas Mavericks,30.6,48.0,34.0,0.5,2.91,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,817982.0,19951.0,49,33,0.598,2.9,112.16,108.95,3.21,9,1
2013,Dallas Mavericks,29.5,39.0,43.0,0.36,-0.24,94.1,0.242,0.236,0.544,0.506,13.0,21.8,0.192,0.492,13.3,73.1,0.227,821490.0,20036.0,41,41,0.5,-0.24,106.74,106.82,-0.09,15,0
2012,Dallas Mavericks,31.3,35.0,31.0,0.83,1.78,91.4,0.246,0.271,0.527,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,671050.0,20335.0,36,30,0.545,1.78,104.04,102.07,1.97,14,1
2011,Dallas Mavericks,30.9,53.0,29.0,0.18,4.41,91.3,0.286,0.274,0.565,0.525,13.6,24.1,0.222,0.488,13.0,74.8,0.206,824162.0,20102.0,57,25,0.695,4.41,110.08,105.4,4.68,8,1
2022,Denver Nuggets,27.7,47.0,35.0,-0.15,2.16,97.8,0.244,0.416,0.59,0.556,13.2,21.9,0.194,0.537,11.7,78.3,0.188,695262.0,16958.0,48,34,0.585,2.16,115.25,113.08,2.17,12,0
2021,Denver Nuggets,26.1,47.0,25.0,-0.11,4.82,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.2,54563.0,1516.0,47,25,0.653,4.82,118.02,113.1,4.92,6,0
2020,Denver Nuggets,25.6,41.0,32.0,0.24,2.35,97.1,0.235,0.344,0.567,0.535,12.3,24.8,0.183,0.533,12.9,76.8,0.198,633153.0,19186.0,46,27,0.63,2.35,114.06,111.66,2.4,11,1
2019,Denver Nuggets,24.9,51.0,31.0,0.24,4.19,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.175,0.521,12.3,78.0,0.194,756457.0,18450.0,54,28,0.659,4.2,113.74,109.35,4.39,7,1
2018,Denver Nuggets,25.1,45.0,37.0,0.09,1.57,96.8,0.258,0.357,0.57,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.173,702796.0,17141.0,46,36,0.561,1.57,113.21,111.5,1.71,11,0
2017,Denver Nuggets,25.2,42.0,40.0,0.19,0.7,98.3,0.276,0.329,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.194,605585.0,14672.0,40,42,0.488,0.7,114.06,113.39,0.67,13,0
2016,Denver Nuggets,24.7,33.0,49.0,0.29,-2.81,95.7,0.282,0.277,0.531,0.489,13.2,25.8,0.216,0.515,12.6,77.3,0.216,577898.0,14095.0,33,49,0.402,-2.81,106.24,109.17,-2.94,22,0
2015,Denver Nuggets,26.4,31.0,51.0,0.48,-3.07,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13.0,74.7,0.239,602707.0,14700.0,30,52,0.366,-3.07,105.16,108.22,-3.07,21,0
2014,Denver Nuggets,26.0,35.0,47.0,0.75,-1.4,98.1,0.306,0.278,0.536,0.497,14.0,27.5,0.222,0.5,12.8,74.5,0.233,692898.0,16900.0,36,46,0.439,-1.4,106.75,108.17,-1.43,19,0
2013,Denver Nuggets,26.1,55.0,27.0,0.28,5.37,95.1,0.308,0.217,0.549,0.515,13.6,31.4,0.216,0.493,14.3,71.8,0.193,730616.0,17820.0,57,25,0.695,5.37,111.34,105.76,5.58,5,1
2012,Denver Nuggets,26.6,39.0,27.0,0.29,3.16,94.2,0.326,0.243,0.556,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,561966.0,17029.0,38,28,0.576,3.16,109.94,106.63,3.31,6,1
